Mission,COSPAR,Initiative,Destination,Success,Type,Launch Vehicle,PDS,PMS,RDS,CDS,RMS,CMS,Feasibility,Funding,PDR,CDR,Launch,On-Station,Science,Extend,EoM,StartY,LaunchY,PMCT,CMCT,TMCT,TDCT,TLCT,TOCT,TECT,TMCN,TDCN,TLCN,TOCN,TECN,TMCP,TDCP,TLCP,TOCP,TECP,LM,Fuel,AKM,Ball,SCdry,SVbus,Svpay,Probe,Cruise,Lander,Aero,Obj,Ins,InsMass,InsPwr,Deploy,BV,SA,BoLP,BoMPwr,BoSPwr,SAA,SAT
2001 Mars Odyssey,2001-013A,Mars Surveyor,Mars,Operational,Orbiter,Delta 7925,40.0,2.51,41.0,41.6,24.04,23.50,2/1/1997,11/6/1997,10/1/1998,4/1/1999,4/7/2001,10/24/2001,2/19/2002,8/24/2004,4/17/2025,1998,2001,267.2,366.1,680.2,366.2,53.9,48.5,211.6,1116.2,677,99.7,78.8,260.7,994.4,586.3,86.3,72.1,249.7,758,348.7,na,33,376.3,331.8,44.5,na,na,na,na,6,3,44.5,58,2,9.7,SA,1500,na,750,7.4,2-axis Gimbal
Cassini,1997-061A,na,Saturn,Success,Orbiter,Titan 4,67.0,11.00,85.0,77.6,19.93,13.22,9/1/1990,6/1/1991,6/1/1994,6/1/1995,10/15/1997,7/1/2004,7/1/2004,7/1/2008,9/15/2017,1985,1992,1436.4,1375.9,3206.8,1408.5,398.4,678,721.9,5916.8,3019.5,809.3,1149.4,938.6,5079.8,2484.1,679.7,1021.5,894.5,5712,3132,na,na,2581,2150,343,348,na,na,na,8,12,236,228,4,85.4,RTG,900,na,630,na,na
Contour,2002-034A,Discovery 6,Comet,Failure,Flyby,Delta 7425,34.0,6.00,35.0,41.6,0,0.00,10/1/1997,2/1/1999,1/20/2000,12/1/2000,7/3/2002,7/3/2002,7/3/2002,7/3/2002,7/3/2002,1998,2002,69.1,96.8,145.8,96.8,49,0,na,258.1,172,86.1,0,na,226.7,150.8,75.9,0,na,775,70,377,na,328,267.6,60.4,na,na,na,na,6,4,60.4,100,0,5.7,SA,670,na,na,12.81,Body
Dart,2021-110A,Planetary Def,Asteroid,Success,Impact,Falcon 9,50.0,0.92,56.0,57.6,0.84,0.00,9/1/2016,3/1/2017,4/1/2018,4/1/2019,11/24/2021,9/26/2022,9/26/2022,9/26/2022,9/26/2022,2016,2021,219,258.3,332,240.6,68.8,22.6,na,374.8,274.8,76.3,23.7,na,365.2,267.9,74.6,22.7,na,610,86.5,na,na,560,500,23.5,na,na,na,na,4,1,14,5,1,8.9,SA,6600,na,na,22,Roll Out
Dawn,2007-043A,Discovery 9,Asteroid,Success,Orbiter,Delta 7925,44.0,10.17,60.0,61.7,11.10,7.30,na,9/1/2002,10/1/2003,5/1/2004,9/27/2007,7/16/2011,na,6/1/2016,11/1/2018,2002,2007,202.8,287.1,505.6,282.9,91.3,108,23.4,749.7,444.7,137.4,139.7,27.9,690.7,404.6,125.7,133.3,27.1,1217.7,470.6,na,na,747.1,700.7,46.4,na,na,na,na,5,3,46.4,95,3,3.59,SA,10300,1300,na,36.4,2 articulated
Deep Impact,2005-001A,Discovery 8,Comet,Success,Rendezvous,Delta 7925,39.0,1.58,50.0,57.2,8.58,8.11,7/1/1999,5/1/2000,3/1/2001,1/1/2002,1/12/2005,7/4/2005,7/4/2005,7/4/2005,8/11/2013,1999,2005,194.1,252,352.5,230.9,57.6,15,49,578.3,390.5,96.1,23.5,68.2,521.6,349.4,86.8,21.4,64,1020,na,na,na,1042,580,90,372,na,na,na,4,3,90,92,2,12.5,SA,750,620,na,7.2,Fixed
Deep Space 1,1998-061A,New Millennium,Comet,Success,Flyby,Delta 7326,39.0,0.92,39.0,37.3,3.15,2.39,na,10/1/1995,na,na,10/24/1998,7/29/1999,na,9/18/1999,12/18/2001,1996,1998,73.3,99.3,180.6,114.2,45.4,7.3,13.7,346.6,221.2,87.3,13.5,24.6,296.6,188.7,74.7,11.7,21.5,486.3,112.6,na,na,373.7,355.5,18.2,na,na,na,na,4,3,18.2,21.9,2,8.9,SA,2500,na,na,14.4,2 articulated
Galileo,1989-084B,na,Jupiter,Success,Orbiter,STS 34,51.0,8.08,125.0,146.7,13.93,7.79,na,10/1/1977,na,na,10/18/1989,12/8/1995,na,12/1/1997,9/21/2003,1978,1989,410.099,1639,1783.1,902.3,323.9,468.5,88.4,5323.7,3218.2,946,1005.1,154.4,3983.5,2303.7,716.8,826.2,136.8,2380,925,na,166,1289,1180,84.07,339,na,na,na,9,12,112.1,87.4,4,112.1,RTG,570,493,410,na,na
Genesis,2001-034A,Discovery 5,L1,Success,Sample Return,Delta 7326,37.0,2.58,46.0,44.8,3.10,2.81,10/20/1997,12/1/1997,7/1/1998,7/1/1999,8/5/2001,11/16/2001,12/5/2001,9/8/2004,9/8/2004,1997,2001,126.1,162.9,264,163,48.7,52.3,na,475.2,300.5,90.4,84.3,na,414.4,260,78.1,76.3,na,636,142,na,na,494,289,12.26,192.74,na,na,na,4,3,12.26,9.5,4,9.2,SA,265,na,na,3.4,2 fixed
Grail-A,2011-046A,Discovery 11A,Lunar,Success,Orbiter,Delta 7920,44.0,0.74,46.0,44.5,1.27,1.02,10/30/2006,1/15/2008,11/11/2008,11/12/2009,9/10/2011,12/11/2011,3/7/2012,5/29/2012,12/17/2012,2007,2011,213.5,224.35,243.65,147.95,76.4,9.65,9.65,327.2,200.4,101.95,12.4,12.4,312.25,190.85,97.8,11.8,11.8,306,108,na,na,198,132.6,65.4,na,na,na,na,6,2,65,191.2,2,1,SA,700,na,na,7.2,Fixed
Grail-B,2011-046B,Discovery 11B,Lunar,Success,Orbiter,Delta 7920,44.0,0.74,46.0,44.5,1.27,1.02,10/30/2006,1/15/2008,11/11/2008,11/12/2009,9/10/2011,12/11/2011,3/7/2012,5/29/2012,12/17/2012,2007,2011,213.5,224.35,243.65,147.95,76.4,9.65,9.65,327.2,200.4,101.95,12.4,12.4,312.25,190.85,97.8,11.8,11.8,306,108,na,na,198,132.6,65.4,na,na,na,na,6,3,65,191.2,2,1,SA,700,na,na,7.2,Fixed
Insight,2018-042A,Discovery 12,Mars,Success,Lander,Atlas 5,43.0,1.99,69.0,70.1,4.62,4.05,na,8/1/2012,8/1/2013,5/1/2014,5/5/2018,11/26/2018,11/26/2018,11/24/2020,12/15/2022,2011,2018,425,633.1,822.8,596.4,163.4,36.7,26.3,1015.1,745.8,199.3,41.6,28.4,973,712.9,192,40.9,27.2,721,67,na,46,608,na,48.3,60,79,309.7,189,5,3,48.3,118,3,2.06,SA,1800,700,600,6.3,Fixed
Juno,2011-040A,New Frontiers 2,Jupiter,Success,Orbiter,Atlas 5,46.0,6.00,72.0,73.3,13.95,8.79,7/1/2004,5/1/2005,5/1/2008,4/1/2009,5/8/2011,7/6/2016,7/6/2016,6/30/2017,4/17/2025,2001,2006,700,1114.1,1304.5,726.2,190.4,167.8,220.1,1669.8,995.9,254.1,208,211.8,1594,943.9,243.8,200.2,206.1,3625,2032,na,na,1593,1438.14,154.86,na,na,na,na,5,10,154.86,124.4,4,33.65,SA,14000,500,400,60.4,3-articulated
Ladee,2013-047A,na,Lunar,Success,Orbiter,Minotaur V,56.0,0.44,68.0,66.2,0.61,0.53,3/1/2008,4/1/2008,8/23/2010,5/20/2011,9/7/2013,10/6/2013,11/21/2013,3/1/2014,4/18/2014,2008,2013,262.9,279.2,279.2,204.3,58.7,11,5.2,365.8,269.8,75.5,14,6.5,348.7,257.6,71.6,13.3,6.2,375.5,134.8,na,na,240.7,191.1,49.7,na,na,na,na,4,4,49.7,195,0,7.69,SA,295,295,260,7.103,Body
Lucy,2021-093A,Discovery 13,Jupiter,Operational,Flyby,Atlas 5,58.0,11.50,58.0,58.2,3.50,-0.01,9/15/2015,1/4/2017,10/20/2018,10/21/2019,10/16/2021,4/20/2025,10/16/2027,10/16/2033,4/17/2025,2016,2021,990,999.2,999.2,523.1,149.4,326.7,na,1089.6,594.1,167.4,328.1,na,1069.5,579.2,163.6,326.7,na,1550,729,na,na,821,759.34,61.66,na,na,na,na,4,4,61.66,70,3,11.0,SA,26400,na,504,83.66,2 fixed
